id,lat,lon,transit
1,42.357697,-71.06332,yes
2,42.359383,-71.062325,no
3,42.35678,-71.0592,no
4,42.355247,-71.05257,no
5,42.35925,-71.0627,no
6,42.35687,-71.05878,no
7,42.35811,-71.06221,no
8,42.35717,-71.05846,no
9,42.356983,-71.056854,no
10,42.35559,-71.06053,no
11,42.3589,-71.0607,no
12,42.359245,-71.06387,no
13,42.35608,-71.06237,no
14,42.358284,-71.059845,no
15,42.356197,-71.063095,no
16,42.35732,-71.06088,no
17,42.35732,-71.057,no
18,42.358986,-71.06422,no
19,42.3556,-71.059,no
20,42.357304,-71.0568,no
21,42.356533,-71.05581,no
22,42.35921,-71.06118,no
23,42.359264,-71.060326,no
24,42.3591,-71.0628,no
25,42.3569,-71.0588,no
26,42.3566,-71.059,no
27,42.3572,-71.0585,no
28,42.35454,-71.06311,no
29,42.36093,-71.05922,no
30,42.361485,-71.059494,no
31,42.358707,-71.06394,no
32,42.360207,-71.05479,no
33,42.35861,-71.05703,no
34,42.360897,-71.055214,no
35,42.35809,-71.061676,no
36,42.359455,-71.057686,no
37,42.355145,-71.06215,no
38,42.361023,-71.063835,no
39,42.354954,-71.061104,no
40,42.354713,-71.05367,no
41,42.356365,-71.0554,no
42,42.35539,-71.05576,no
43,42.356243,-71.05593,no
44,42.357986,-71.059105,no
45,42.356903,-71.05891,no
46,42.35682,-71.05886,no
47,42.356403,-71.05932,no
48,42.358395,-71.06222,no
49,42.3577,-71.053024,no
50,42.361134,-71.05697,no
51,42.361546,-71.057106,no
52,42.361275,-71.05695,no
53,42.357376,-71.05289,no
54,42.35496,-71.06145,no
55,42.355206,-71.06016,no
56,42.35659,-71.05277,no
57,42.35525,-71.06234,no
58,42.357376,-71.058945,no
59,42.357735,-71.05916,no
60,42.35775,-71.059204,no
61,42.355453,-71.0638,no
62,42.35546,-71.063805,no
63,42.35864,-71.05753,no
64,42.358646,-71.05739,no
65,42.355503,-71.05863,no
66,42.35595,-71.063194,no
67,42.357452,-71.06354,no
68,42.35749,-71.06342,no
69,42.357536,-71.05842,no
70,42.358723,-71.057236,no
71,42.358948,-71.0519,no
72,42.36082,-71.055145,no
73,42.35616,-71.057465,no
74,42.35903,-71.0592,no
75,42.361023,-71.063965,no
76,42.361027,-71.06361,no
77,42.361023,-71.06309,no
78,42.36102,-71.06327,no
79,42.361023,-71.06318,no
80,42.36098,-71.06262,no
81,42.35716,-71.06078,no
82,42.35712,-71.060936,no
83,42.357277,-71.06102,no
84,42.358086,-71.06258,no
85,42.358482,-71.0627,no
86,42.358616,-71.06271,no
87,42.35894,-71.06279,no
88,42.360584,-71.05687,no
89,42.355404,-71.05809,no
90,42.35498,-71.06335,no
91,42.356754,-71.055405,no
92,42.35892,-71.05763,no
93,42.35851,-71.052986,no
94,42.359234,-71.05543,no
95,42.3577,-71.0542,no
96,42.35783,-71.05404,no
97,42.359413,-71.053696,no
98,42.357037,-71.0547,no
99,42.35648,-71.05303,no
100,42.357323,-71.05532,no
101,42.356712,-71.05656,no
102,42.356228,-71.06197,no
103,42.354935,-71.05952,no
104,42.35424,-71.06195,no
105,42.355595,-71.06107,no
106,42.361145,-71.056786,no
107,42.360714,-71.05673,no
108,42.359383,-71.05546,no
109,42.359463,-71.055466,no
110,42.354218,-71.05205,no
111,42.35592,-71.05273,no
112,42.360233,-71.05392,no
113,42.356903,-71.05414,no
114,42.35973,-71.056,no
115,42.359768,-71.05564,no
116,42.354828,-71.05595,no
117,42.35541,-71.06387,no
118,42.35535,-71.06299,no
119,42.35525,-71.06306,no
120,42.355377,-71.06293,no
121,42.355225,-71.06306,no
122,42.359333,-71.054184,no
123,42.35425,-71.059364,no
124,42.354683,-71.05917,no
125,42.354492,-71.05954,no
126,42.354225,-71.059006,no
127,42.354614,-71.059074,no
128,42.360203,-71.06378,no
129,42.3547,-71.06024,no
130,42.358948,-71.05216,no
131,42.358974,-71.05217,no
132,42.359024,-71.052185,no
133,42.359047,-71.05219,no
134,42.35911,-71.05221,no
135,42.359135,-71.052216,no
136,42.359184,-71.05223,no
137,42.359207,-71.05223,no
138,42.359264,-71.052246,no
139,42.35929,-71.05225,no
140,42.359344,-71.05227,no
141,42.359367,-71.05228,no
142,42.360504,-71.05475,no
143,42.361687,-71.052345,no
144,42.361618,-71.052414,no
145,42.356777,-71.0538,no
146,42.357994,-71.053825,no
147,42.355934,-71.05538,no
148,42.356007,-71.05546,no
149,42.35595,-71.05536,no
150,42.35592,-71.05541,no
151,42.35599,-71.05549,no
152,42.35602,-71.05543,no
153,42.356037,-71.0554,no
154,42.355965,-71.05533,no
155,42.35444,-71.05888,no
156,42.35477,-71.06145,no
157,42.35684,-71.05759,no
158,42.360043,-71.055435,no
159,42.35632,-71.06191,no
160,42.356377,-71.061844,no
161,42.357063,-71.05895,no
162,42.35817,-71.058105,no
163,42.35902,-71.05956,no
164,42.35617,-71.05893,no
165,42.35639,-71.05904,no
166,42.355534,-71.05996,no
167,42.358788,-71.05846,no
168,42.35823,-71.05772,no
169,42.359364,-71.05914,no
170,42.356255,-71.059,no
171,42.36003,-71.05624,no
172,42.360165,-71.054886,no
173,42.35991,-71.05421,no
174,42.36053,-71.05489,no
175,42.360508,-71.055115,no
176,42.35981,-71.05516,no
177,42.35635,-71.059906,no
178,42.36103,-71.06435,no
179,42.354984,-71.05879,no
180,42.357796,-71.05391,no
181,42.3571,-71.05444,no
182,42.356792,-71.06003,no
183,42.361694,-71.05657,no
184,42.35764,-71.062904,no
185,42.35769,-71.05901,no
