id,centerlat,centerlon,width,height,population,jobs,u,v
0,42.361073,-71.10198,17.551981,15.2703,2.3406343,0.5000959,0,21
1,42.361214,-71.10198,17.55194,15.694474,2.405646,0.51398623,0,20
2,42.36135,-71.10198,17.5519,15.2703,2.3406236,0.50009364,0,19
3,42.36149,-71.10198,17.551863,15.694474,2.4056354,0.51398396,0,18
4,42.36163,-71.10198,17.551825,15.2703,2.3406134,0.5000915,0,17
5,42.361767,-71.10198,17.551786,15.2703,2.3406084,0.5000904,0,16
6,42.361908,-71.10198,17.551746,15.694474,2.4056196,0.51398057,0,15
7,42.362045,-71.10198,17.551706,15.2703,2.3405976,0.5000881,0,14
8,42.362183,-71.10198,17.551668,15.694474,5.1648054,0.18444937,0,13
9,42.362324,-71.10198,17.55163,15.2703,5.7068024,0.14965068,0,12
10,42.36246,-71.10198,17.55159,15.2703,5.814851,0.1547157,0,11
11,42.362602,-71.10198,17.551554,15.694474,6.0095367,0.1605681,0,10
12,42.36274,-71.10198,17.551514,15.2703,5.851002,0.1564108,0,9
13,42.362877,-71.10198,17.551476,15.2703,5.5690413,0.1000733,0,8
14,42.363018,-71.10198,17.551435,15.694474,5.9863415,0.07871272,0,7
15,42.363155,-71.10198,17.5514,15.2703,5.892824,0.077645965,0,6
16,42.363293,-71.10198,17.551357,15.694474,5.9863143,0.07871237,0,5
17,42.363434,-71.10198,17.55132,15.2703,5.5429406,0.0919027,0,4
18,42.36357,-71.10198,17.551281,15.2703,6.0575767,0.11384564,0,3
19,42.363712,-71.10198,17.55124,15.694474,6.1556435,0.115917526,0,2
20,42.36385,-71.10198,17.551205,15.2703,6.218985,0.117881015,0,1
21,42.363987,-71.10198,17.55116,15.694474,7.434472,0.14663962,0,0
22,42.361073,-71.101776,16.925123,15.2703,2.25704,0.4822353,1,21
23,42.361214,-71.101776,16.925085,15.694474,2.3197303,0.4956296,1,20
24,42.36135,-71.101776,16.925047,15.2703,2.2570295,0.4822331,1,19
25,42.36149,-71.101776,16.92501,15.694474,2.31972,0.4956274,1,18
26,42.36163,-71.101776,16.924973,15.2703,2.25702,0.48223102,1,17
27,42.361767,-71.101776,16.924934,15.2703,2.2570148,0.48222992,1,16
28,42.361908,-71.101776,16.924896,15.694474,2.3197045,0.49562407,1,15
29,42.362045,-71.101776,16.92486,15.2703,2.257005,0.4822278,1,14
30,42.362183,-71.101776,16.924822,15.694474,5.078891,0.18036567,1,13
