id,lat,lon,transit
1,42.36263,-71.091446,no
2,42.362305,-71.09129,no
3,42.36204,-71.09172,no
4,42.35998,-71.09481,no
5,42.3621,-71.08874,no
6,42.362144,-71.08976,no
7,42.36204,-71.08981,no
8,42.361988,-71.08911,no
9,42.361732,-71.08992,no
10,42.362144,-71.08923,no
11,42.363964,-71.0929,no
12,42.361774,-71.090294,no
13,42.360664,-71.09107,no
14,42.36096,-71.089516,no
15,42.360847,-71.09077,no
16,42.361332,-71.08974,no
17,42.36314,-71.09244,no
18,42.36308,-71.091606,no
19,42.3603,-71.09029,no
20,42.361217,-71.09087,no
21,42.36034,-71.0947,no
22,42.36181,-71.09127,no
23,42.360363,-71.09488,no
24,42.363087,-71.09254,no
25,42.361923,-71.09152,no
26,42.36175,-71.091385,no
27,42.360703,-71.095695,no
28,42.36066,-71.09019,no
29,42.360638,-71.0902,no
30,42.360607,-71.090294,no
31,42.361553,-71.08973,no
32,42.361607,-71.08974,no
33,42.361374,-71.08895,no
34,42.361248,-71.08965,no
35,42.3612,-71.08964,no
36,42.361336,-71.08969,no
37,42.361385,-71.0897,no
38,42.35985,-71.09132,no
39,42.36071,-71.089424,no
