id,lat,lon,transit
1,42.35925,-71.0627,no
2,42.3589,-71.0607,no
3,42.359245,-71.06387,no
4,42.359383,-71.062325,no
5,42.358986,-71.06422,no
6,42.35921,-71.06118,no
7,42.359264,-71.060326,no
8,42.3591,-71.0628,no
9,42.36093,-71.05922,no
10,42.361485,-71.059494,no
11,42.361023,-71.063835,no
12,42.36096,-71.06567,no
13,42.361813,-71.0655,no
14,42.35903,-71.0592,no
15,42.36201,-71.06573,no
16,42.362022,-71.06543,no
17,42.36098,-71.06262,no
18,42.361008,-71.06504,no
19,42.361008,-71.06493,no
20,42.361004,-71.0647,no
21,42.36102,-71.06327,no
22,42.361008,-71.06499,no
23,42.361023,-71.06318,no
24,42.361023,-71.06309,no
25,42.35894,-71.06279,no
26,42.361286,-71.06514,no
27,42.361023,-71.063965,no
28,42.361027,-71.06361,no
29,42.3614,-71.06543,no
30,42.360203,-71.06378,no
31,42.362396,-71.06431,no
32,42.35902,-71.05956,no
33,42.359364,-71.05914,no
