id,centerlat,centerlon,width,height,population,jobs,u,v
0,42.32974,-71.03734,16.93356,15.2703,1.6568532,0.56377125,0,21
1,42.329876,-71.03734,16.933521,15.2703,2.1528041,0.7656629,0,20
2,42.330017,-71.03734,16.933485,15.694474,2.1527994,0.76566124,0,19
3,42.330154,-71.03734,16.933449,15.2703,2.1527948,0.7656597,0,18
4,42.33029,-71.03734,16.93341,15.694474,2.15279,0.76565796,0,17
5,42.330433,-71.03734,16.933374,15.2703,2.1527853,0.76565623,0,16
6,42.33057,-71.03734,16.933336,15.2703,3.1139681,0.9059642,0,15
7,42.330708,-71.03734,16.933298,15.694474,3.5323288,0.9203485,0,14
8,42.33085,-71.03734,16.933262,15.2703,3.5323212,0.9203465,0,13
9,42.330986,-71.03734,16.933224,15.2703,3.5323133,0.9203445,0,12
10,42.331127,-71.03734,16.933186,15.694474,3.5323052,0.9203423,0,11
11,42.331264,-71.03734,16.93315,15.2703,3.532298,0.9203404,0,10
12,42.3314,-71.03734,16.933111,15.694474,4.0050898,1.0461073,0,9
13,42.331543,-71.03734,16.933075,15.2703,3.3933573,0.91910434,0,8
14,42.33168,-71.03734,16.933039,15.2703,3.3933501,0.9191023,0,7
15,42.33182,-71.03734,16.932999,15.694474,3.393342,0.91910017,0,6
16,42.33196,-71.03734,16.932962,15.2703,3.3933346,0.91909826,0,5
17,42.332096,-71.03734,16.932926,15.694474,3.3933275,0.91909623,0,4
18,42.332237,-71.03734,16.932888,15.2703,4.1597652,0.98426294,0,3
19,42.332375,-71.03734,16.93285,15.2703,4.094405,0.8122254,0,2
20,42.332516,-71.03734,16.932812,15.694474,4.094396,0.81222355,0,1
21,42.332653,-71.03734,16.932775,15.2703,4.094388,0.8122219,0,0
22,42.32974,-71.037125,16.93356,15.2703,3.5575998,0.9091644,1,21
23,42.329876,-71.037125,16.933521,15.2703,3.557592,0.90916234,1,20
24,42.330017,-71.037125,16.933485,15.694474,3.6564057,0.9344148,1,19
25,42.330154,-71.037125,16.933449,15.2703,3.5575764,0.9091584,1,18
26,42.33029,-71.037125,16.93341,15.694474,3.65639,0.9344108,1,17
27,42.330433,-71.037125,16.933374,15.2703,3.557561,0.9091545,1,16
28,42.33057,-71.037125,16.933336,15.2703,3.3413973,0.94804287,1,15
29,42.330708,-71.037125,16.933298,15.694474,2.9685476,1.2413926,1,14
30,42.33085,-71.037125,16.933262,15.2703,2.8883104,1.2078389,1,13
31,42.330986,-71.037125,16.933224,15.2703,2.888304,1.2078362,1,12
32,42.331127,-71.037125,16.933186,15.694474,2.9685278,1.2413843,1,11
33,42.331264,-71.037125,16.93315,15.2703,2.8882914,1.2078309,1,10
34,42.3314,-71.037125,16.933111,15.694474,3.2091901,1.3206122,1,9
35,42.331543,-71.037125,16.933075,15.2703,2.666845,1.0396175,1,8
36,42.33168,-71.037125,16.933039,15.2703,2.6668394,1.0396154,1,7
37,42.33182,-71.037125,16.932999,15.694474,2.740912,1.0684911,1,6
38,42.33196,-71.037125,16.932962,15.2703,2.6668277,1.0396107,1,5
39,42.332096,-71.037125,16.932926,15.694474,2.7409003,1.0684866,1,4
40,42.332237,-71.037125,16.932888,15.2703,2.8767653,1.0144,1,3
41,42.332375,-71.037125,16.93285,15.2703,2.9243562,0.75151056,1,2
42,42.332516,-71.037125,16.932812,15.694474,3.0055816,0.77238405,1,1
43,42.332653,-71.037125,16.932775,15.2703,2.9243433,0.7515072,1,0
44,42.32974,-71.03692,17.560728,15.2703,3.6893628,0.9428371,2,21
45,42.329876,-71.03692,17.56069,15.2703,3.6893551,0.94283515,2,20
46,42.330017,-71.03692,17.560652,15.694474,3.7918284,0.9690228,2,19
47,42.330154,-71.03692,17.560614,15.2703,3.6893387,0.942831,2,18
48,42.33029,-71.03692,17.560575,15.694474,3.791812,0.96901864,2,17
49,42.330433,-71.03692,17.560535,15.2703,3.6893222,0.94282675,2,16
50,42.33057,-71.03692,17.560497,15.2703,3.3413973,0.94804287,2,15
51,42.330708,-71.03692,17.560457,15.694474,3.0784936,1.28737,2,14
52,42.33085,-71.03692,17.56042,15.2703,2.9952846,1.2525736,2,13
53,42.330986,-71.03692,17.56038,15.2703,2.9952784,1.2525709,2,12
54,42.331127,-71.03692,17.56034,15.694474,3.0784733,1.2873615,2,11
55,42.331264,-71.03692,17.560303,15.2703,2.995265,1.2525654,2,10
56,42.3314,-71.03692,17.560263,15.694474,3.2091901,1.3206122,2,9
57,42.331543,-71.03692,17.560226,15.2703,2.7656176,1.0781221,2,8
58,42.33168,-71.03692,17.560188,15.2703,2.7656116,1.0781198,2,7
59,42.33182,-71.03692,17.560148,15.694474,2.8424275,1.1080649,2,6
60,42.33196,-71.03692,17.56011,15.2703,2.7655993,1.078115,2,5
61,42.332096,-71.03692,17.56007,15.694474,2.8424146,1.10806,2,4
62,42.332237,-71.03692,17.560032,15.2703,2.8767653,1.0144,2,3
63,42.332375,-71.03692,17.559992,15.2703,3.0326653,0.77934414,2,2
64,42.332516,-71.03692,17.559954,15.694474,3.1168993,0.8009909,2,1
65,42.332653,-71.03692,17.559916,15.2703,3.0326524,0.7793408,2,0
66,42.32974,-71.03671,16.93356,15.2703,3.5575998,0.9091644,3,21
67,42.329876,-71.03671,16.933521,15.2703,3.557592,0.90916234,3,20
68,42.330017,-71.03671,16.933485,15.694474,3.6564057,0.9344148,3,19
69,42.330154,-71.03671,16.933449,15.2703,3.5575764,0.9091584,3,18
70,42.33029,-71.03671,16.93341,15.694474,3.65639,0.9344108,3,17
71,42.330433,-71.03671,16.933374,15.2703,3.557561,0.9091545,3,16
72,42.33057,-71.03671,16.933336,15.2703,3.3413973,0.94804287,3,15
73,42.330708,-71.03671,16.933298,15.694474,2.9685476,1.2413926,3,14
74,42.33085,-71.03671,16.933262,15.2703,2.8883104,1.2078389,3,13
75,42.330986,-71.03671,16.933224,15.2703,2.888304,1.2078362,3,12
76,42.331127,-71.03671,16.933186,15.694474,2.9685278,1.2413843,3,11
77,42.331264,-71.03671,16.93315,15.2703,2.8882914,1.2078309,3,10
78,42.3314,-71.03671,16.933111,15.694474,3.2091901,1.3206122,3,9
79,42.331543,-71.03671,16.933075,15.2703,2.666845,1.0396175,3,8
80,42.33168,-71.03671,16.933039,15.2703,2.6668394,1.0396154,3,7
81,42.33182,-71.03671,16.932999,15.694474,2.740912,1.0684911,3,6
82,42.33196,-71.03671,16.932962,15.2703,2.6668277,1.0396107,3,5
83,42.332096,-71.03671,16.932926,15.694474,2.7409003,1.0684866,3,4
84,42.332237,-71.03671,16.932888,15.2703,2.8767653,1.0144,3,3
85,42.332375,-71.03671,16.93285,15.2703,2.9243562,0.75151056,3,2
86,42.332516,-71.03671,16.932812,15.694474,3.0055816,0.77238405,3,1
87,42.332653,-71.03671,16.932775,15.2703,2.9243433,0.7515072,3,0
88,42.32974,-71.0365,16.93356,15.2703,3.5575998,0.9091644,4,21
89,42.329876,-71.0365,16.933521,15.2703,3.557592,0.90916234,4,20
90,42.330017,-71.0365,16.933485,15.694474,3.6564057,0.9344148,4,19
91,42.330154,-71.0365,16.933449,15.2703,3.5575764,0.9091584,4,18
92,42.33029,-71.0365,16.93341,15.694474,3.65639,0.9344108,4,17
93,42.330433,-71.0365,16.933374,15.2703,3.557561,0.9091545,4,16
94,42.33057,-71.0365,16.933336,15.2703,3.3413973,0.94804287,4,15
95,42.330708,-71.0365,16.933298,15.694474,2.9685476,1.2413926,4,14
96,42.33085,-71.0365,16.933262,15.2703,2.8883104,1.2078389,4,13
97,42.330986,-71.0365,16.933224,15.2703,2.888304,1.2078362,4,12
98,42.331127,-71.0365,16.933186,15.694474,2.9685278,1.2413843,4,11
