id,lat,lon,transit
1,42.35925,-71.0627,no
2,42.359245,-71.06387,no
3,42.359383,-71.062325,no
4,42.359543,-71.06589,no
5,42.360096,-71.06699,no
6,42.35921,-71.06118,no
7,42.359264,-71.060326,no
8,42.360653,-71.06699,no
9,42.361023,-71.063835,no
10,42.36132,-71.0667,no
11,42.36096,-71.06567,no
12,42.361813,-71.0655,no
13,42.361935,-71.06606,no
14,42.36101,-71.06589,no
15,42.360992,-71.067154,no
16,42.36201,-71.06573,no
17,42.362022,-71.06543,no
18,42.36102,-71.06682,no
19,42.361027,-71.06649,no
20,42.36098,-71.06262,no
21,42.361008,-71.06504,no
22,42.361008,-71.06493,no
23,42.361355,-71.06624,no
24,42.361004,-71.0661,no
25,42.361004,-71.0647,no
26,42.36102,-71.06327,no
27,42.361008,-71.06499,no
28,42.361023,-71.06318,no
29,42.36136,-71.065956,no
30,42.361023,-71.06309,no
31,42.361286,-71.06514,no
32,42.361023,-71.063965,no
33,42.361027,-71.06361,no
34,42.36102,-71.06665,no
35,42.3614,-71.06543,no
36,42.360203,-71.06378,no
37,42.36174,-71.067184,no
38,42.362396,-71.06431,no
