id,lat,lon,transit
1,42.35172,-71.06721,yes
2,42.35322,-71.0643,yes
3,42.35302,-71.064606,yes
4,42.35337,-71.0642,yes
5,42.349808,-71.063995,no
6,42.349575,-71.057884,no
7,42.35103,-71.06613,no
8,42.35171,-71.06782,no
9,42.35238,-71.06558,no
10,42.35284,-71.06437,no
11,42.35292,-71.06248,no
12,42.35559,-71.06053,no
13,42.34985,-71.0619,no
14,42.347992,-71.064926,no
15,42.349266,-71.06699,no
16,42.352043,-71.0645,no
17,42.34956,-71.06341,no
18,42.3556,-71.059,no
19,42.3483,-71.0688,no
20,42.3529,-71.0628,no
21,42.3517,-71.0678,no
22,42.3498,-71.0619,no
23,42.352272,-71.06531,no
24,42.35044,-71.06532,no
25,42.35454,-71.06311,no
26,42.349968,-71.0661,no
27,42.350716,-71.0647,no
28,42.347168,-71.06842,no
29,42.355145,-71.06215,no
30,42.354954,-71.061104,no
31,42.3504,-71.06493,no
32,42.3522,-71.06568,no
33,42.353226,-71.06409,no
34,42.351063,-71.05848,no
35,42.352295,-71.06348,no
36,42.353687,-71.06389,no
37,42.35254,-71.06509,no
38,42.350037,-71.06184,no
39,42.3534,-71.0592,no
40,42.3509,-71.06773,no
41,42.35126,-71.06618,no
42,42.351814,-71.06605,no
43,42.351242,-71.06503,no
44,42.351234,-71.06526,no
45,42.351227,-71.0644,no
46,42.35496,-71.06145,no
47,42.355206,-71.06016,no
48,42.351692,-71.05845,no
49,42.352165,-71.05794,no
50,42.350803,-71.05848,no
51,42.35525,-71.06234,no
52,42.351067,-71.063126,no
53,42.35107,-71.06282,no
54,42.35114,-71.063805,no
55,42.35117,-71.066696,no
56,42.35123,-71.064674,no
57,42.355453,-71.0638,no
58,42.35546,-71.063805,no
59,42.355503,-71.05863,no
60,42.353146,-71.063034,no
61,42.35242,-71.067085,no
62,42.352398,-71.066864,no
63,42.3512,-71.064255,no
64,42.354355,-71.068275,no
65,42.350662,-71.06621,no
66,42.35241,-71.062675,no
67,42.351357,-71.059364,no
68,42.355404,-71.05809,no
69,42.35498,-71.06335,no
70,42.351147,-71.06629,no
71,42.354935,-71.05952,no
72,42.353443,-71.06231,no
73,42.35424,-71.06195,no
74,42.355595,-71.06107,no
75,42.352238,-71.05776,no
76,42.352547,-71.06235,no
77,42.352444,-71.060234,no
78,42.35137,-71.0614,no
79,42.35154,-71.06098,no
80,42.351147,-71.06218,no
81,42.350742,-71.05821,no
82,42.352356,-71.05904,no
83,42.35153,-71.05813,no
84,42.352303,-71.06715,no
85,42.35148,-71.062675,no
86,42.35541,-71.06387,no
87,42.35535,-71.06299,no
88,42.35525,-71.06306,no
89,42.355377,-71.06293,no
90,42.355225,-71.06306,no
91,42.34952,-71.06443,no
92,42.35408,-71.058815,no
93,42.35251,-71.06281,no
94,42.35425,-71.059364,no
95,42.354137,-71.0584,no
96,42.354683,-71.05917,no
97,42.352276,-71.06476,no
98,42.352287,-71.06243,no
99,42.35348,-71.05803,no
100,42.354492,-71.05954,no
101,42.35138,-71.06685,no
102,42.352238,-71.06444,no
103,42.354225,-71.059006,no
104,42.354614,-71.059074,no
105,42.350845,-71.060455,no
106,42.350246,-71.06079,no
107,42.34985,-71.06154,no
108,42.34941,-71.06165,no
109,42.3547,-71.06024,no
110,42.353,-71.06403,no
111,42.35128,-71.067375,no
112,42.35246,-71.064255,no
113,42.351505,-71.0627,no
114,42.35151,-71.0626,no
115,42.35444,-71.05888,no
116,42.35477,-71.06145,no
117,42.3512,-71.06555,no
118,42.35245,-71.065956,no
119,42.35079,-71.06811,no
120,42.354294,-71.0664,no
121,42.353363,-71.06531,no
122,42.35246,-71.06361,no
123,42.35256,-71.0629,no
124,42.352753,-71.05788,no
125,42.355534,-71.05996,no
126,42.351135,-71.05872,no
127,42.351868,-71.05993,no
128,42.354984,-71.05879,no
129,42.353226,-71.05878,no
130,42.351616,-71.06142,no
131,42.34858,-71.06774,no
132,42.353844,-71.05921,no
