id,lat,lon,transit
1,42.36346,-71.106285,yes
2,42.36389,-71.1058,yes
3,42.364914,-71.104416,yes
4,42.36517,-71.104416,yes
5,42.365234,-71.10523,yes
6,42.364414,-71.10253,no
7,42.366867,-71.10653,no
8,42.365097,-71.11033,no
9,42.365242,-71.10362,no
10,42.365128,-71.10339,no
11,42.364586,-71.10254,no
12,42.36506,-71.103325,no
13,42.36474,-71.10279,no
14,42.36587,-71.10601,no
15,42.365025,-71.10302,no
16,42.366127,-71.10529,no
17,42.365402,-71.104774,no
18,42.36417,-71.10202,no
19,42.36409,-71.10188,no
20,42.364174,-71.103004,no
21,42.364223,-71.10294,no
22,42.36562,-71.10374,no
23,42.366543,-71.1053,no
24,42.36511,-71.10398,no
25,42.364765,-71.10578,no
26,42.36586,-71.106186,no
27,42.365406,-71.10465,no
28,42.364613,-71.10412,no
29,42.364838,-71.102425,no
30,42.365044,-71.10207,no
31,42.36795,-71.102066,no
32,42.367798,-71.10221,no
33,42.36597,-71.10574,no
34,42.365093,-71.103615,no
35,42.36664,-71.10544,no
36,42.36271,-71.10465,no
37,42.36445,-71.10173,no
38,42.364967,-71.10339,no
39,42.364864,-71.10246,no
40,42.36526,-71.103134,no
41,42.36489,-71.102554,no
42,42.365017,-71.10348,no
43,42.364346,-71.10233,no
44,42.366413,-71.10508,no
45,42.366165,-71.10467,no
46,42.366,-71.104355,no
47,42.365673,-71.104546,no
48,42.365765,-71.10395,no
49,42.36611,-71.10324,no
50,42.36507,-71.1031,no
51,42.365025,-71.10226,no
52,42.36402,-71.1018,no
53,42.36555,-71.10362,no
54,42.366302,-71.10339,no
55,42.36595,-71.103424,no
56,42.364086,-71.107994,no
57,42.364258,-71.10782,no
58,42.364117,-71.10789,no
59,42.364147,-71.107796,no
60,42.364277,-71.10776,no
61,42.365177,-71.106575,no
62,42.365177,-71.10633,no
63,42.365257,-71.1062,no
64,42.36522,-71.1058,no
65,42.365265,-71.10554,no
66,42.364254,-71.10749,no
67,42.364243,-71.10754,no
68,42.364445,-71.10692,no
69,42.364826,-71.105835,no
70,42.3648,-71.10593,no
71,42.364235,-71.107445,no
72,42.365295,-71.10407,no
73,42.365013,-71.10539,no
74,42.36504,-71.105316,no
75,42.365,-71.10544,no
76,42.364975,-71.10553,no
77,42.364937,-71.10551,no
78,42.364967,-71.10541,no
79,42.364956,-71.10545,no
80,42.36499,-71.10534,no
81,42.365013,-71.10527,no
82,42.36534,-71.10482,no
83,42.36534,-71.104744,no
84,42.364956,-71.10443,no
85,42.364983,-71.104454,no
86,42.36503,-71.10443,no
87,42.365,-71.1044,no
88,42.365097,-71.1044,no
89,42.36526,-71.10423,no
90,42.365288,-71.10419,no
91,42.36551,-71.104294,no
92,42.365425,-71.10439,no
93,42.3653,-71.10385,no
94,42.36592,-71.10494,no
95,42.366528,-71.105736,no
96,42.366703,-71.10603,no
97,42.367012,-71.10658,no
98,42.366875,-71.10638,no
99,42.366764,-71.10615,no
100,42.36691,-71.105896,no
101,42.366432,-71.1056,no
102,42.36437,-71.10748,no
103,42.364395,-71.107414,no
104,42.364414,-71.107346,no
105,42.36467,-71.106575,no
106,42.36613,-71.104744,no
107,42.366184,-71.10479,no
108,42.36613,-71.10515,no
109,42.366165,-71.1052,no
110,42.366226,-71.1053,no
111,42.366272,-71.10536,no
112,42.365883,-71.106155,no
113,42.365253,-71.10684,no
114,42.365948,-71.10502,no
115,42.366016,-71.10514,no
116,42.366077,-71.10524,no
117,42.36519,-71.10616,no
118,42.3652,-71.10601,no
119,42.365417,-71.10388,no
120,42.36538,-71.103836,no
121,42.36506,-71.10328,no
122,42.365273,-71.10325,no
123,42.365025,-71.103264,no
124,42.365833,-71.10357,no
125,42.36639,-71.10503,no
126,42.36458,-71.10251,no
127,42.364227,-71.10365,no
128,42.36448,-71.10355,no
129,42.366154,-71.10535,no
130,42.364147,-71.10774,no
131,42.364235,-71.10748,no
132,42.366558,-71.1029,no
133,42.364857,-71.1032,no
134,42.363827,-71.10367,no
135,42.36375,-71.10375,no
136,42.363804,-71.103714,no
137,42.364155,-71.10198,no
138,42.363503,-71.106346,no
139,42.36506,-71.10279,no
140,42.365707,-71.1056,no
