id,lat,lon,transit
1,42.361134,-71.05697,no
2,42.360207,-71.05479,no
3,42.360897,-71.055214,no
4,42.361275,-71.05695,no
5,42.36082,-71.055145,no
6,42.361145,-71.056786,no
7,42.360584,-71.05687,no
8,42.359234,-71.05543,no
9,42.359413,-71.053696,no
10,42.360714,-71.05673,no
11,42.359383,-71.05546,no
12,42.359463,-71.055466,no
13,42.360233,-71.05392,no
14,42.359768,-71.05564,no
15,42.35973,-71.056,no
16,42.359333,-71.054184,no
17,42.360504,-71.05475,no
18,42.357994,-71.053825,no
19,42.360043,-71.055435,no
20,42.36003,-71.05624,no
21,42.360165,-71.054886,no
22,42.35991,-71.05421,no
23,42.36053,-71.05489,no
24,42.360508,-71.055115,no
25,42.35981,-71.05516,no
