id,lat,lon,transit
1,42.35925,-71.0627,no
2,42.359245,-71.06387,no
3,42.359383,-71.062325,no
4,42.35921,-71.06118,no
5,42.359264,-71.060326,no
6,42.36093,-71.05922,no
7,42.361485,-71.059494,no
8,42.361023,-71.063835,no
9,42.361813,-71.0655,no
10,42.362022,-71.06543,no
11,42.36098,-71.06262,no
12,42.361008,-71.06504,no
13,42.361008,-71.06493,no
14,42.361004,-71.0647,no
15,42.36102,-71.06327,no
16,42.361008,-71.06499,no
17,42.361023,-71.06318,no
18,42.361023,-71.06309,no
19,42.361286,-71.06514,no
20,42.361023,-71.063965,no
21,42.361027,-71.06361,no
22,42.3614,-71.06543,no
23,42.360203,-71.06378,no
24,42.362396,-71.06431,no
25,42.359364,-71.05914,no
