id,lat,lon,transit
1,42.35925,-71.0627,no
2,42.3589,-71.0607,no
3,42.359245,-71.06387,no
4,42.35811,-71.06221,no
5,42.359383,-71.062325,no
6,42.358707,-71.06505,no
7,42.359543,-71.06589,no
8,42.360096,-71.06699,no
9,42.358986,-71.06422,no
10,42.35921,-71.06118,no
11,42.359264,-71.060326,no
12,42.3591,-71.0628,no
13,42.358707,-71.06394,no
14,42.360653,-71.06699,no
15,42.358284,-71.059845,no
16,42.35809,-71.061676,no
17,42.358395,-71.06222,no
18,42.361023,-71.063835,no
19,42.36132,-71.0667,no
20,42.36096,-71.06567,no
21,42.361813,-71.0655,no
22,42.361935,-71.06606,no
23,42.36101,-71.06589,no
24,42.36201,-71.06573,no
25,42.36102,-71.06682,no
26,42.361027,-71.06649,no
27,42.36098,-71.06262,no
28,42.361008,-71.06493,no
29,42.361004,-71.0647,no
30,42.36102,-71.06327,no
31,42.361023,-71.06318,no
32,42.361023,-71.06309,no
33,42.358482,-71.0627,no
34,42.358616,-71.06271,no
35,42.35894,-71.06279,no
36,42.361286,-71.06514,no
37,42.361023,-71.063965,no
38,42.36102,-71.06665,no
39,42.3614,-71.06543,no
40,42.360203,-71.06378,no
41,42.362396,-71.06431,no
