id,lat,lon,transit
1,42.35925,-71.0627,no
2,42.359245,-71.06387,no
3,42.359383,-71.062325,no
4,42.35921,-71.06118,no
5,42.359264,-71.060326,no
6,42.3591,-71.0628,no
7,42.36093,-71.05922,no
8,42.361485,-71.059494,no
9,42.359455,-71.057686,no
10,42.361546,-71.057106,no
11,42.361023,-71.063835,no
12,42.36098,-71.06262,no
13,42.36102,-71.06327,no
14,42.361023,-71.06318,no
15,42.361023,-71.06309,no
16,42.361023,-71.063965,no
17,42.361027,-71.06361,no
18,42.360203,-71.06378,no
19,42.362396,-71.06431,no
20,42.359364,-71.05914,no
