id,centerlat,centerlon,width,height,population,jobs,u,v
0,42.33392,-71.0383,17.559563,15.694474,2.1863868,0.4954374,0,21
1,42.334057,-71.0383,17.559525,15.2703,2.5901005,0.58691937,0,20
2,42.334194,-71.0383,17.559484,15.694474,2.6620417,0.6032213,0,19
3,42.334335,-71.0383,17.559446,15.2703,2.5900888,0.5869167,0,18
4,42.334473,-71.0383,17.55941,15.2703,2.5900836,0.5869155,0,17
5,42.33461,-71.0383,17.55937,15.694474,3.0311427,0.8128402,0,16
6,42.33475,-71.0383,17.559328,15.2703,1.9296601,0.7755417,0,15
7,42.33489,-71.0383,17.55929,15.2703,0.9911452,0.5628726,0,14
8,42.33503,-71.0383,17.559252,15.694474,1.0186747,0.5785066,0,13
9,42.335167,-71.0383,17.559214,15.2703,0.9911409,0.56287014,0,12
10,42.335304,-71.0383,17.559175,15.2703,0.9911387,0.5628689,0,11
11,42.335445,-71.0383,17.559135,15.694474,1.0186679,0.5785028,0,10
12,42.335583,-71.0383,17.5591,15.2703,2.066584,0.50299853,0,9
13,42.33572,-71.0383,17.559057,15.694474,2.9899063,0.60059255,0,8
14,42.33586,-71.0383,17.55902,15.2703,2.909092,0.5843591,0,7
15,42.336,-71.0383,17.55898,15.2703,2.9090855,0.5843578,0,6
16,42.336136,-71.0383,17.558943,15.694474,2.9898868,0.6005886,0,5
17,42.336277,-71.0383,17.558903,15.2703,2.9090724,0.5843552,0,4
18,42.336414,-71.0383,17.558865,15.2703,3.1642096,0.77346957,0,3
19,42.336555,-71.0383,17.558826,15.694474,3.812342,1.2990203,0,2
20,42.336693,-71.0383,17.558788,15.2703,3.709298,1.2639089,0,1
21,42.33683,-71.0383,17.55875,15.2703,3.7092898,1.2639062,0,0
22,42.33392,-71.03809,16.932436,15.694474,2.1863868,0.4954374,1,21
23,42.334057,-71.03809,16.932398,15.2703,2.497597,0.56595796,1,20
24,42.334194,-71.03809,16.932358,15.694474,2.5669684,0.58167756,1,19
25,42.334335,-71.03809,16.932322,15.2703,2.4975855,0.56595534,1,18
26,42.334473,-71.03809,16.932285,15.2703,2.49758,0.56595415,1,17
27,42.33461,-71.03809,16.93225,15.694474,2.9360702,0.79129666,1,16
28,42.33475,-71.03809,16.932209,15.2703,1.8942621,0.7554391,1,15
29,42.33489,-71.03809,16.932173,15.2703,0.9557471,0.54276997,1,14
30,42.33503,-71.03809,16.932137,15.694474,0.9822935,0.55784565,1,13
31,42.335167,-71.03809,16.932098,15.2703,0.955743,0.54276764,1,12
32,42.335304,-71.03809,16.93206,15.2703,0.9557408,0.5427664,1,11
33,42.335445,-71.03809,16.932024,15.694474,0.98228705,0.557842,1,10
34,42.335583,-71.03809,16.931988,15.2703,2.066584,0.50299853,1,9
35,42.33572,-71.03809,16.931948,15.694474,2.8831236,0.57914275,1,8
36,42.33586,-71.03809,16.931911,15.2703,2.8051958,0.5634891,1,7
37,42.336,-71.03809,16.931873,15.2703,2.8051894,0.5634878,1,6
38,42.336136,-71.03809,16.931835,15.694474,2.8831046,0.5791389,1,5
39,42.336277,-71.03809,16.931799,15.2703,2.8051772,0.5634854,1,4
40,42.336414,-71.03809,16.93176,15.2703,3.1642096,0.77346957,1,3
41,42.336555,-71.03809,16.931725,15.694474,3.676187,1.2526267,1,2
42,42.336693,-71.03809,16.931688,15.2703,3.5768232,1.2187694,1,1
43,42.33683,-71.03809,16.931652,15.2703,3.5768151,1.2187667,1,0
44,42.33392,-71.03788,16.932436,15.694474,2.1863868,0.4954374,2,21
45,42.334057,-71.03788,16.932398,15.2703,2.497597,0.56595796,2,20
46,42.334194,-71.03788,16.932358,15.694474,2.5669684,0.58167756,2,19
47,42.334335,-71.03788,16.932322,15.2703,2.4975855,0.56595534,2,18
48,42.334473,-71.03788,16.932285,15.2703,2.49758,0.56595415,2,17
49,42.33461,-71.03788,16.93225,15.694474,2.9360702,0.79129666,2,16
