id,centerlat,centerlon,width,height,population,jobs,u,v
0,42.33415,-71.046974,16.932371,15.694474,4.818561,0.78600645,0,21
1,42.33429,-71.046974,16.932333,15.2703,4.688319,0.7647613,0,20
2,42.334427,-71.046974,16.932297,15.2703,4.688309,0.76475966,0,19
3,42.334568,-71.046974,16.93226,15.694474,4.8185296,0.78600127,0,18
4,42.334705,-71.046974,16.932222,15.2703,4.6882887,0.7647563,0,17
5,42.334843,-71.046974,16.932184,15.694474,4.818508,0.78599775,0,16
6,42.334984,-71.046974,16.932146,15.2703,2.0670018,0.21583913,0,15
7,42.33512,-71.046974,16.932112,15.2703,1.2375689,0.0081419,0,14
8,42.335262,-71.046974,16.932074,15.694474,1.380452,0.013535146,0,13
9,42.3354,-71.046974,16.932035,15.2703,1.3910449,0.04262351,0,12
10,42.335537,-71.046974,16.931997,15.2703,1.4177011,0.2878894,0,11
11,42.33568,-71.046974,16.931961,15.694474,1.4570786,0.29588568,0,10
12,42.335815,-71.046974,16.931925,15.2703,1.417695,0.28788817,0,9
13,42.335953,-71.046974,16.931887,15.694474,1.4570723,0.2958844,0,8
14,42.336094,-71.046974,16.93185,15.2703,1.417689,0.28788692,0,7
15,42.33623,-71.046974,16.931812,15.2703,1.4176856,0.28788626,0,6
16,42.336372,-71.046974,16.931774,15.694474,1.4570625,0.2958824,0,5
17,42.33651,-71.046974,16.931738,15.2703,0.3351527,0.2807631,0,4
18,42.336647,-71.046974,16.9317,15.694474,0.18514122,0.28751326,0,3
19,42.33679,-71.046974,16.931662,15.2703,0.12012176,0.27688414,0,2
20,42.336926,-71.046974,16.931625,15.2703,0.029627644,0.2725743,0,1
21,42.337067,-71.046974,16.931587,15.694474,0.030450562,0.28014517,0,0
22,42.33415,-71.04676,16.932371,15.694474,6.3273206,1.6428328,1,21
23,42.33429,-71.04676,16.932333,15.2703,6.1970754,1.6215858,1,20
24,42.334427,-71.04676,16.932297,15.2703,6.197062,1.6215823,1,19
25,42.334568,-71.04676,16.93226,15.694474,7.4222813,1.937384,1,18
26,42.334705,-71.04676,16.932222,15.2703,7.654045,2.0135193,1,17
27,42.334843,-71.04676,16.932184,15.694474,7.784258,2.034758,1,16
28,42.334984,-71.04676,16.932146,15.2703,3.9397628,0.8438908,1,15
29,42.33512,-71.04676,16.932112,15.2703,2.6945696,0.4000836,1,14
30,42.335262,-71.04676,16.932074,15.694474,1.7089527,0.10190373,1,13
31,42.3354,-71.04676,16.932035,15.2703,1.3910449,0.04262351,1,12
32,42.335537,-71.04676,16.931997,15.2703,1.4177011,0.2878894,1,11
33,42.33568,-71.04676,16.931961,15.694474,1.4570786,0.29588568,1,10
34,42.335815,-71.04676,16.931925,15.2703,1.417695,0.28788817,1,9
35,42.335953,-71.04676,16.931887,15.694474,1.4570723,0.2958844,1,8
36,42.336094,-71.04676,16.93185,15.2703,1.417689,0.28788692,1,7
37,42.33623,-71.04676,16.931812,15.2703,2.6773937,0.5536962,1,6
38,42.336372,-71.04676,16.931774,15.694474,2.8937397,0.5990345,1,5
39,42.33651,-71.04676,16.931738,15.2703,1.771827,0.5839145,1,4
40,42.336647,-71.04676,16.9317,15.694474,1.6218122,0.590664,1,3
41,42.33679,-71.04676,16.931662,15.2703,1.5567896,0.58003426,1,2
42,42.336926,-71.04676,16.931625,15.2703,1.4662924,0.57572377,1,1
43,42.337067,-71.04676,16.931587,15.694474,1.467112,0.5832939,1,0
44,42.33415,-71.046555,17.559498,15.694474,3.2117,1.7431031,2,21
45,42.33429,-71.046555,17.559458,15.2703,3.1302865,1.6968685,2,20
46,42.334427,-71.046555,17.55942,15.2703,3.13028,1.6968647,2,19
47,42.334568,-71.046555,17.559381,15.694474,5.3196583,2.3101501,2,18
48,42.334705,-71.046555,17.559343,15.2703,5.960414,2.4581838,2,17
49,42.334843,-71.046555,17.559303,15.694474,6.1204205,2.525556,2,16
