id,lat,lon,transit
1,42.35899,-71.09354,yes
2,42.35913,-71.09364,yes
3,42.360203,-71.09478,yes
4,42.360233,-71.09473,yes
5,42.35761,-71.0928,yes
6,42.35969,-71.09172,no
7,42.359043,-71.09762,no
8,42.35998,-71.09481,no
9,42.359077,-71.09305,no
10,42.35887,-71.094955,no
11,42.359116,-71.094894,no
12,42.358654,-71.09637,no
13,42.358707,-71.095,no
14,42.359142,-71.09432,no
15,42.359253,-71.09324,no
16,42.35855,-71.09525,no
17,42.359447,-71.09356,no
18,42.358246,-71.09617,no
19,42.358944,-71.09636,no
20,42.36034,-71.0947,no
21,42.358837,-71.09502,no
22,42.360363,-71.09488,no
23,42.358303,-71.09328,no
24,42.3591,-71.09353,no
25,42.357994,-71.09233,no
26,42.35976,-71.092064,no
27,42.35903,-71.09447,no
28,42.359257,-71.09469,no
29,42.35941,-71.09262,no
30,42.35985,-71.09132,no
