id,centerlat,centerlon,width,height,population,jobs
0,42.36482,-71.09476,17.550932,15.2703,3.152907,0.03136317
1,42.36482,-71.09455,16.924112,15.2703,3.0403028,0.030243058
2,42.36482,-71.09434,16.924112,15.2703,3.0403028,0.030243058
3,42.36482,-71.09413,17.550932,15.2703,3.152907,0.03136317
4,42.36482,-71.093925,16.924112,15.2703,3.0403028,0.030243058
5,42.36482,-71.09371,16.924112,15.2703,3.0403028,0.030243058
6,42.36482,-71.093506,17.550932,15.2703,3.152907,0.03136317
7,42.36482,-71.0933,16.924112,15.2703,3.5679135,0.04450281
8,42.36482,-71.09309,16.924112,15.2703,3.7963862,0.05067775
9,42.36482,-71.09288,17.550932,15.2703,3.209334,0.0640647
10,42.36482,-71.092674,16.924112,15.2703,1.7579501,0.06518799
11,42.36482,-71.09246,16.924112,15.2703,0.7560836,0.05464203
12,42.36482,-71.092255,17.550932,15.2703,0.7560836,0.055908967
13,42.36482,-71.09205,16.924112,15.2703,0.2172515,0.040078998
14,42.36482,-71.091835,16.924112,15.2703,0.0,0.036735956
15,42.36482,-71.09163,17.550932,15.2703,0.0,0.04231884
16,42.36482,-71.09142,16.924112,15.2703,0.0,0.05225708
17,42.36482,-71.09121,16.924112,15.2703,0.0,0.03487149
18,42.36496,-71.09476,17.550894,15.694474,3.2404804,0.032234296
19,42.36496,-71.09455,16.924076,15.694474,3.1247487,0.031083073
20,42.36496,-71.09434,16.924076,15.694474,3.1247487,0.031083073
21,42.36496,-71.09413,17.550894,15.694474,3.2404804,0.032234296
22,42.36496,-71.093925,16.924076,15.694474,3.1247487,0.031083073
23,42.36496,-71.09371,16.924076,15.694474,3.1247487,0.031083073
24,42.36496,-71.093506,17.550894,15.694474,3.2404804,0.032234296
25,42.36496,-71.0933,16.924076,15.694474,4.6283946,0.07172215
26,42.36496,-71.09309,16.924076,15.694474,5.3393774,0.0909379
27,42.36496,-71.09288,17.550894,15.694474,4.7869005,0.1060911
28,42.36496,-71.092674,16.924076,15.694474,3.216493,0.10555823
29,42.36496,-71.09246,16.924076,15.694474,2.2146285,0.095012285
30,42.36496,-71.092255,17.550894,15.694474,2.2966518,0.09853126
31,42.36496,-71.09205,16.924076,15.694474,0.6191483,0.0518912
32,42.36496,-71.091835,16.924076,15.694474,0.0,0.03919302
33,42.36496,-71.09163,17.550894,15.694474,0.0,0.048102435
34,42.36496,-71.09142,16.924076,15.694474,0.0,0.057589643
35,42.36496,-71.09121,16.924076,15.694474,0.0,0.039759383
36,42.365097,-71.09476,17.550854,15.2703,3.1528926,0.031363033
37,42.365097,-71.09455,16.924036,15.2703,3.0402894,0.03024292
38,42.365097,-71.09434,16.924036,15.2703,3.0402894,0.03024292
39,42.365097,-71.09413,17.550854,15.2703,3.1528926,0.031363033
40,42.365097,-71.093925,16.924036,15.2703,3.0402894,0.03024292
41,42.365097,-71.09371,16.924036,15.2703,3.0402894,0.03024292
42,42.365097,-71.093506,17.550854,15.2703,3.1528926,0.031363033
43,42.365097,-71.0933,16.924036,15.2703,4.5439315,0.0708819
44,42.365097,-71.09309,16.924036,15.2703,5.195058,0.088479914
45,42.365097,-71.09288,17.550854,15.2703,4.6878147,0.10402374
46,42.365097,-71.092674,16.924036,15.2703,3.1566308,0.10299009
47,42.365097,-71.09246,16.924036,15.2703,2.1547687,0.092444174
48,42.365097,-71.092255,17.550854,15.2703,2.2345753,0.09586804
49,42.365097,-71.09205,16.924036,15.2703,0.6191468,0.05094088
50,42.365097,-71.091835,16.924036,15.2703,0.0,0.038242728
51,42.365097,-71.09163,17.550854,15.2703,0.0,0.046802267
52,42.365097,-71.09142,16.924036,15.2703,0.0,0.05633588
53,42.365097,-71.09121,16.924036,15.2703,0.0,0.03895037
54,42.365234,-71.09476,17.550816,15.2703,3.152886,0.031362962
55,42.365234,-71.09455,16.924,15.2703,3.0402822,0.030242853
56,42.365234,-71.09434,16.924,15.2703,3.0402822,0.030242853
57,42.365234,-71.09413,17.550816,15.2703,3.4776723,0.05700399
58,42.365234,-71.093925,16.924,15.2703,3.6054497,0.074861325
59,42.365234,-71.09371,16.924,15.2703,3.6054497,0.074861325
60,42.365234,-71.093506,17.550816,15.2703,3.7180533,0.07598144
61,42.365234,-71.0933,16.924,15.2703,5.109089,0.11550022
62,42.365234,-71.09309,16.924,15.2703,5.760214,0.13309819
63,42.365234,-71.09288,17.550816,15.2703,5.2529716,0.14864197
64,42.365234,-71.092674,16.924,15.2703,3.411813,0.12313639
65,42.365234,-71.09246,16.924,15.2703,2.154764,0.09244397
