shapeid,x,y,transit
155,-71.10451494,42.3742091,yes
156,-71.12563602,42.37432531,yes
157,-71.10501893,42.37427065,yes
158,-71.10165551,42.37440222,yes
159,-71.10717612,42.37454245,yes
160,-71.13045273,42.37469717,yes
161,-71.13070472,42.37471238,yes
162,-71.11451071,42.37466782,yes
163,-71.1079643,42.3746542,yes
164,-71.15149159,42.37488753,yes
165,-71.13322313,42.37486598,yes
166,-71.06377091,42.37462866,yes
167,-71.14829069,42.3749195,yes
168,-71.13958735,42.37491357,yes
169,-71.13386593,42.37490411,yes
170,-71.13983907,42.37494896,yes
171,-71.15266287,42.37499351,yes
172,-71.1478864,42.37498853,yes
173,-71.10994541,42.37490992,yes
174,-71.11018982,42.37494314,yes
175,-71.13664792,42.37505732,yes
176,-71.13655227,42.37505769,yes
177,-71.15404551,42.37513437,yes
178,-71.13956442,42.36262601,yes
179,-71.15566234,42.36267966,yes
180,-71.11244585,42.36263459,yes
181,-71.1385183,42.36278425,yes
182,-71.15818882,42.36286709,yes
183,-71.09939545,42.36286676,yes
184,-71.15944974,42.36310275,yes
185,-71.0995241,42.36294148,yes
186,-71.13553652,42.36314683,yes
187,-71.13545183,42.36315862,yes
188,-71.1320117,42.36320593,yes
189,-71.13208913,42.36322164,yes
190,-71.12919637,42.36324354,yes
191,-71.12852161,42.36330136,yes
192,-71.12748469,42.3633822,yes
193,-71.10201282,42.36332822,yes
194,-71.10628487,42.36345892,yes
195,-71.12502152,42.36358562,yes
196,-71.12919349,42.36362653,yes
197,-71.12461724,42.36362278,yes
198,-71.12266458,42.36378335,yes
199,-71.12230269,42.36381488,yes
200,-71.10579874,42.36389327,yes
201,-71.10863426,42.36391731,yes
202,-71.10306341,42.36409481,yes
203,-71.11411205,42.36446624,yes
204,-71.11064404,42.36476639,yes
205,-71.10890338,42.36491786,yes
206,-71.10441851,42.36491305,yes
207,-71.1030062,42.36496827,yes
208,-71.08979118,42.36493195,yes
209,-71.10441628,42.36517039,yes
210,-71.10523139,42.36523542,yes
211,-71.10381344,42.36546798,yes
212,-71.09132612,42.36547888,yes
213,-71.09309751,42.36738087,yes
214,-71.0971609,42.36779704,yes
215,-71.0972323,42.36782668,yes
216,-71.10181855,42.36820796,yes
217,-71.10866922,42.36832887,yes
218,-71.10170506,42.36836377,yes
219,-71.10886627,42.36841945,yes
220,-71.09916902,42.36858551,yes
221,-71.09468952,42.36868763,yes
222,-71.09476205,42.36883131,yes
223,-71.11037466,42.36904613,yes
224,-71.11080104,42.36919989,yes
225,-71.10076309,42.36921957,yes
226,-71.10108018,42.36922141,yes
227,-71.10096038,42.36938899,yes
228,-71.09610092,42.36985196,yes
229,-71.10274738,42.37000403,yes
230,-71.10281055,42.37002901,yes
231,-71.11345128,42.37013377,yes
232,-71.11306281,42.37020922,yes
233,-71.16062019,42.37036108,yes
234,-71.16148358,42.3704621,yes
235,-71.10017407,42.3705157,yes
236,-71.10462098,42.37074636,yes
237,-71.09999748,42.3707687,yes
238,-71.11590312,42.37101402,yes
239,-71.15801953,42.37122452,yes
240,-71.09392837,42.37103276,yes
241,-71.08002976,42.37104032,yes
242,-71.12874235,42.38107345,yes
243,-71.1546041,42.38121566,yes
244,-71.06659017,42.38092242,yes
245,-71.08746166,42.38101391,yes
246,-71.0897451,42.38104171,yes
247,-71.12893558,42.38117814,yes
248,-71.13793483,42.38125832,yes
249,-71.13752236,42.38129014,yes
250,-71.09964872,42.38122584,yes
251,-71.06696237,42.38111032,yes
252,-71.13599606,42.38140066,yes
253,-71.13591616,42.38140628,yes
254,-71.07084439,42.38118317,yes
255,-71.13316738,42.38142911,yes
