id,lat,lon
426487632,42.36192,-71.05957
426487632,42.36248,-71.05837
426487632,42.36248,-71.05837
426487632,42.36291,-71.05718
426487632,42.363205,-71.056946
8647458,42.36575,-71.0521
8647458,42.365917,-71.052086
8647458,42.365955,-71.051384
8646368,42.362843,-71.05375
8646368,42.363094,-71.05408
8646368,42.361683,-71.051926
8646368,42.36202,-71.05261
8646368,42.36275,-71.05362
8647222,42.363094,-71.05408
8647222,42.36331,-71.053825
8644471,42.364056,-71.05343
8644471,42.36432,-71.05392
419031025,42.360626,-71.05078
419031025,42.360786,-71.04994
8646569,42.366253,-71.05276
8646569,42.3664,-71.05141
8647588,42.3629,-71.05801
8647588,42.362923,-71.05813
8647588,42.363155,-71.05843
8647588,42.36323,-71.05845
8647833,42.3664,-71.05141
8647833,42.366478,-71.05039
8647833,42.366436,-71.0501
8642489,42.35925,-71.05427
8642489,42.35967,-71.0544
8648707,42.362793,-71.051926
8648707,42.362362,-71.051346
8648707,42.36224,-71.05106
140476764,42.36408,-71.0585
140476764,42.363583,-71.05803
140476764,42.36288,-71.05715
140476764,42.363014,-71.05693
140476764,42.363747,-71.05788
140476764,42.364212,-71.05833
140476764,42.361725,-71.05521
140476764,42.36087,-71.05355
140476764,42.361034,-71.05339
140476764,42.361927,-71.05511
94482758,42.359196,-71.05069
94482758,42.359196,-71.050705
94482758,42.35918,-71.05061
94482758,42.358925,-71.05055
94482758,42.358925,-71.05055
94482758,42.358597,-71.05044
94482758,42.358597,-71.05044
94482758,42.358616,-71.05031
94482758,42.358925,-71.05057
94482758,42.358925,-71.05055
94482758,42.358925,-71.05055
94482758,42.35896,-71.05005
94482758,42.35896,-71.05005
94482758,42.35893,-71.049904
94482758,42.35893,-71.049904
94482758,42.35871,-71.04989
94482758,42.35915,-71.050476
94482758,42.35912,-71.04975
94482758,42.35912,-71.04975
94482758,42.359127,-71.04968
94482758,42.359127,-71.04968
94482758,42.359154,-71.0494
94482758,42.358597,-71.05044
94482758,42.358578,-71.05043
94482758,42.35912,-71.04975
94482758,42.35896,-71.05005
94482758,42.359127,-71.04968
94482758,42.35928,-71.04999
94482758,42.35893,-71.049904
94482758,42.358997,-71.04956
94482758,42.358932,-71.049416
94482758,42.359,-71.04891
8637690,42.36465,-71.05735
8637690,42.364666,-71.05692
199584098,42.360905,-71.05286
199584098,42.360603,-71.0532
199584098,42.360546,-71.053116
199584098,42.360874,-71.05282
8640548,42.363857,-71.05322
8640548,42.36284,-71.05481
8640548,42.36666,-71.04883
8640548,42.3639,-71.05316
8645578,42.35963,-71.0518
8645578,42.36014,-71.048584
8638352,42.358837,-71.05679
8638352,42.359615,-71.05697
419031023,42.360485,-71.05083
419031023,42.362137,-71.05088
408284399,42.364014,-71.05425
408284399,42.36386,-71.054
8648326,42.359,-71.058624
8648326,42.358543,-71.05886
8648326,42.358543,-71.05924
8648326,42.359097,-71.058945
426864180,42.3622,-71.05642
426864180,42.361534,-71.05759
426864180,42.36253,-71.05585
426864180,42.36264,-71.055664
426864180,42.36364,-71.054665
426864180,42.36432,-71.05392
426864180,42.365437,-71.053
426864180,42.36666,-71.05267
8636509,42.36359,-71.05588
8636509,42.363873,-71.05664
8636509,42.363815,-71.05768
408284401,42.3653,-71.053535
408284401,42.365402,-71.053406
8651284,42.36202,-71.05261
8651284,42.36123,-71.05329
8651284,42.363182,-71.05159
8651284,42.363655,-71.051346
8651284,42.363754,-71.05106
103553906,42.358543,-71.0557
103553906,42.35897,-71.05591
8651318,42.3664,-71.05141
8651318,42.36656,-71.051285
8651318,42.36666,-71.05114
8639268,42.36478,-71.05346
8639268,42.363995,-71.05107
426488104,42.35868,-71.05212
426488104,42.358753,-71.051636
241180702,42.358543,-71.05337
241180702,42.35885,-71.053856
241180702,42.359264,-71.05408
90296891,42.362846,-71.05932
90296891,42.362522,-71.05865
90296891,42.362583,-71.05852
90296891,42.362923,-71.059166
8647670,42.361588,-71.05692
8647670,42.3614,-71.05661
8647670,42.361137,-71.056435
8647670,42.36128,-71.055824
141176105,42.36282,-71.05803
141176105,42.36295,-71.058075
8650438,42.365414,-71.05957
8650438,42.36455,-71.05862
8650438,42.36429,-71.05845
149017986,42.36222,-71.056625
149017986,42.362267,-71.05656
149017986,42.36279,-71.05631
149017986,42.362827,-71.056274
8637981,42.36229,-71.05103
8637981,42.361706,-71.04923
8637981,42.36175,-71.04883
8637981,42.361923,-71.048874
8637981,42.362457,-71.05072
8637981,42.362495,-71.050995
8646121,42.365242,-71.05839
8646121,42.364536,-71.05957
236582645,42.359432,-71.05045
236582645,42.35955,-71.05055
236582645,42.35932,-71.05048
236582645,42.359386,-71.04999
99102379,42.360786,-71.04994
99102379,42.360947,-71.049965
99102379,42.36108,-71.04982
99102379,42.36138,-71.048584
8640119,42.36666,-71.056526
8640119,42.36582,-71.05653
8652542,42.36664,-71.05225
8652542,42.36666,-71.05221
8641944,42.364735,-71.058556
8641944,42.364956,-71.05868
289690820,42.358902,-71.04927
289690820,42.35889,-71.04926
8645759,42.365498,-71.055954
8645759,42.36619,-71.05552
8648532,42.361645,-71.056915
8648532,42.36168,-71.056625
8648532,42.361515,-71.05647
8648532,42.3614,-71.05661
8645083,42.359543,-71.05236
8645083,42.358837,-71.05679
8645083,42.35963,-71.0518
8645083,42.35962,-71.05188
8646445,42.36598,-71.05503
8646445,42.366623,-71.05654
94590181,42.36022,-71.05302
94590181,42.36027,-71.05281
94590181,42.36093,-71.052795
94590181,42.360943,-71.05262
94590181,42.361294,-71.05236
94590181,42.361332,-71.052444
94590181,42.360638,-71.05237
94590181,42.360615,-71.052414
94590181,42.36031,-71.05224
94590181,42.36026,-71.05212
94590181,42.36032,-71.05207
94590181,42.361515,-71.052086
94590181,42.36158,-71.05213
94590181,42.361668,-71.051956
94590181,42.361626,-71.05188
94590181,42.361946,-71.05127
94590181,42.361984,-71.05131
94590181,42.36205,-71.05122
94590181,42.362007,-71.05115
94590181,42.359646,-71.05072
94590181,42.35977,-71.050934
94590181,42.359196,-71.050705
94590181,42.359207,-71.05079
94590181,42.358932,-71.05069
94590181,42.358925,-71.05057
94590181,42.358578,-71.05043
94590181,42.358543,-71.05042
94590181,42.36051,-71.05024
94590181,42.360542,-71.05002
94590181,42.3599,-71.04983
9744322,42.365486,-71.053085
9744322,42.36584,-71.05367
9744322,42.36592,-71.05359
9744322,42.366062,-71.05382
9744322,42.365982,-71.0539
9744322,42.366096,-71.05407
8651680,42.36293,-71.05533
8651680,42.362797,-71.05507
48982042,42.364674,-71.0509
48982042,42.364803,-71.050705
8648727,42.361023,-71.05696
8648727,42.361137,-71.056435
8690447,42.365513,-71.056625
8690447,42.365616,-71.05681
8690447,42.365616,-71.05681
8690447,42.36589,-71.05725
8690447,42.365875,-71.05749
8690447,42.365616,-71.05681
8690447,42.363873,-71.05664
8651504,42.358856,-71.05319
8651504,42.35937,-71.053345
8647875,42.358807,-71.0538
8647875,42.35865,-71.054375
8647875,42.35873,-71.05369
8647875,42.358856,-71.05319
8647875,42.358845,-71.05292
8647875,42.358948,-71.05226
8647875,42.359177,-71.05089
8647875,42.359062,-71.051636
132174018,42.366344,-71.05957
132174018,42.36666,-71.05895
63106591,42.363094,-71.05408
63106591,42.36364,-71.054665
8690443,42.365242,-71.05839
8690443,42.36533,-71.05677
8690443,42.365395,-71.05677
8690443,42.365723,-71.056366
48982038,42.36284,-71.05481
48982038,42.362682,-71.054955
8641873,42.363556,-71.05898
8641873,42.36408,-71.05957
199586485,42.361565,-71.05518
199586485,42.361393,-71.05531
199586485,42.361454,-71.0551
199586485,42.36143,-71.05491
199586485,42.360287,-71.05716
199586485,42.360325,-71.05678
199586485,42.360386,-71.05671
199586485,42.36034,-71.05707
199586485,42.360287,-71.05716
236582625,42.35932,-71.05048
236582625,42.35931,-71.0505
140093533,42.3607,-71.0538
140093533,42.35976,-71.053635
149017986,42.362267,-71.05656
149017986,42.362534,-71.05654
149017986,42.362762,-71.05642
149017986,42.36279,-71.05631
8640548,42.3639,-71.05316
8640548,42.363857,-71.05322
8651340,42.358543,-71.0567
8651340,42.358837,-71.05679
8652306,42.365288,-71.05785
8652306,42.365726,-71.05789
8650859,42.36408,-71.05342
8650859,42.364674,-71.05318
63104575,42.358837,-71.05679
63104575,42.358818,-71.05783
48982034,42.364212,-71.05833
48982034,42.36484,-71.05884
48982034,42.365566,-71.05957
408284393,42.363335,-71.05381
408284393,42.36349,-71.05396
340037295,42.360424,-71.05957
340037295,42.36118,-71.05817
340037295,42.361332,-71.05799
340037295,42.361538,-71.05792
340037295,42.362762,-71.05814
340037295,42.35918,-71.05957
340037295,42.361053,-71.05799
340037295,42.361214,-71.05793
340037295,42.361538,-71.05792
340037295,42.36486,-71.05957
340037295,42.364017,-71.05869
340037295,42.36309,-71.058266
94483068,42.359848,-71.05639
94483068,42.35986,-71.05622
94483068,42.36031,-71.055885
94483068,42.360497,-71.05593
94483068,42.359875,-71.05576
94483068,42.359573,-71.05572
240370707,42.359432,-71.04936
240370707,42.35941,-71.04943
8648717,42.36631,-71.05757
8648717,42.36589,-71.05725
236582620,42.35955,-71.05055
236582620,42.359646,-71.05072
8643638,42.364506,-71.05829
8643638,42.364754,-71.05838
8643638,42.364525,-71.05845
8643638,42.36388,-71.058426
426484918,42.360252,-71.057304
426484918,42.360287,-71.05716
426484918,42.360386,-71.05671
426484918,42.360527,-71.05626
426484918,42.36072,-71.05589
426484918,42.361393,-71.05531
48982043,42.36275,-71.05362
48982043,42.362843,-71.05375
411570030,42.359795,-71.05916
411570030,42.3597,-71.05924
290074778,42.358543,-71.051506
290074778,42.35994,-71.051926
290074778,42.36044,-71.05225
290074778,42.36093,-71.052795
8649813,42.36622,-71.05777
8649813,42.366413,-71.05734
8647337,42.358875,-71.05081
8647337,42.359253,-71.0509
8647337,42.35977,-71.050934
8652516,42.366554,-71.05298
8652516,42.366497,-71.05271
8648511,42.36478,-71.05346
8648511,42.365887,-71.05509
8647494,42.36093,-71.052795
8647494,42.36148,-71.052284
8647494,42.36193,-71.05139
8647494,42.362175,-71.0511
8647494,42.362495,-71.050995
8647494,42.363754,-71.05106
8651212,42.359646,-71.05361
8651212,42.35941,-71.05356
141176105,42.358543,-71.05787
141176105,42.36073,-71.057686
141176105,42.36282,-71.05803
141176105,42.36295,-71.058075
141176105,42.36406,-71.058586
141176105,42.36504,-71.05957
141176105,42.359337,-71.05774
141176105,42.360405,-71.057625
8650125,42.36364,-71.054665
8650125,42.363937,-71.05513
8650125,42.364117,-71.05558
236582643,42.359318,-71.05054
236582643,42.35951,-71.05057
236582643,42.35932,-71.05048
8650282,42.36263,-71.051
8650282,42.362682,-71.051186
8650282,42.36292,-71.05149
127555878,42.366528,-71.04962
127555878,42.366425,-71.04961
127555878,42.366425,-71.04961
127555878,42.366436,-71.0501
127555878,42.366425,-71.04961
127555878,42.366337,-71.04961
8651212,42.35974,-71.053635
8651212,42.359646,-71.05361
8651212,42.35941,-71.05356
8651212,42.35934,-71.05354
141141010,42.359447,-71.05223
141141010,42.358543,-71.05194
8650276,42.364395,-71.05783
8650276,42.36394,-71.05779
173473723,42.359528,-71.05565
173473723,42.35974,-71.053635
8649786,42.364254,-71.056244
8649786,42.364117,-71.05558
289468263,42.36106,-71.05718
289468263,42.36152,-71.057396
289468263,42.36065,-71.05705
289468263,42.36106,-71.05718
289468263,42.36044,-71.05698
289468263,42.36065,-71.05705
8648179,42.358765,-71.05156
8648179,42.358875,-71.05081
8647650,42.359055,-71.05696
8647650,42.35895,-71.05699
8647650,42.358845,-71.05714
8647650,42.358543,-71.057236
240370706,42.3587,-71.05765
240370706,42.35869,-71.0578
240370706,42.358543,-71.057816
240370706,42.3587,-71.05765
240370706,42.358707,-71.057755
240370706,42.358723,-71.05723
240370706,42.3587,-71.05765
8651900,42.362232,-71.05294
8651900,42.36253,-71.052605
8643944,42.36666,-71.05754
8643944,42.366287,-71.057236
8643944,42.36598,-71.05679
8643944,42.36432,-71.05392
8652096,42.361397,-71.05361
8652096,42.3622,-71.052895
409161401,42.36323,-71.05845
409161401,42.3633,-71.05842
409161401,42.3633,-71.05842
409161401,42.36352,-71.05831
409161401,42.3633,-71.05842
409161401,42.36289,-71.05789
409161401,42.36289,-71.05789
409161401,42.3629,-71.05801
409161401,42.362877,-71.05764
409161401,42.36289,-71.05789
409161401,42.364746,-71.05672
409161401,42.364723,-71.05628
409161401,42.364944,-71.05629
409161401,42.362072,-71.05664
409161401,42.361565,-71.056046
409161401,42.361214,-71.05545
409161401,42.36406,-71.05632
409161401,42.364452,-71.05619
409161401,42.362183,-71.05483
409161401,42.362244,-71.0546
409161401,42.362484,-71.05423
409161401,42.362556,-71.05402
409161401,42.360786,-71.05382
409161401,42.3607,-71.0538
409161401,42.35976,-71.053635
409161401,42.35974,-71.053635
409161401,42.362984,-71.05296
409161401,42.363457,-71.05301
409161401,42.363674,-71.051056
409161401,42.363365,-71.04965
409161401,42.363365,-71.04965
409161401,42.363293,-71.04932
409161401,42.363365,-71.04965
409161401,42.36344,-71.04963
409161401,42.363415,-71.04925
409161401,42.363293,-71.04932
409161401,42.36272,-71.04911
409161401,42.36277,-71.04931
409161401,42.362885,-71.04942
409161401,42.363293,-71.04932
8646799,42.364643,-71.055984
8646799,42.364582,-71.055534
288994531,42.365273,-71.05957
288994531,42.36474,-71.059044
288994531,42.36408,-71.0585
99102435,42.361286,-71.048584
99102435,42.36108,-71.04962
99102435,42.36099,-71.04987
99102435,42.360786,-71.04994
94482755,42.359806,-71.0507
94482755,42.359646,-71.05072
409161391,42.362125,-71.054245
409161391,42.361916,-71.05382
409161391,42.362236,-71.05414
409161391,42.362026,-71.05371
409161391,42.362,-71.05433
409161391,42.361797,-71.053925
409161391,42.361916,-71.05382
409161391,42.361916,-71.05382
409161391,42.362026,-71.05371
409161391,42.362026,-71.05371
409161391,42.362144,-71.053604
409161391,42.362347,-71.05403
409161391,42.362236,-71.05414
409161391,42.362236,-71.05414
409161391,42.362125,-71.054245
409161391,42.362125,-71.054245
409161391,42.362,-71.05433
8646567,42.365555,-71.05657
8646567,42.365246,-71.056046
8646567,42.365433,-71.05584
8641575,42.36388,-71.058426
8641575,42.363724,-71.058395
99270540,42.361347,-71.048584
99270540,42.36124,-71.04914
99270540,42.361046,-71.0498
99270540,42.361,-71.049904
99270540,42.360786,-71.04994
99809138,42.359833,-71.057724
99809138,42.359875,-71.05742
8690424,42.36666,-71.05539
8690424,42.366413,-71.054726
8649145,42.365288,-71.05785
8649145,42.364403,-71.05776
419031025,42.360626,-71.05086
419031025,42.360626,-71.05078
405520314,42.358814,-71.05776
405520314,42.35945,-71.05771
217801052,42.36184,-71.0569
217801052,42.36192,-71.05691
8648177,42.364204,-71.05265
8648177,42.363182,-71.05159
8651720,42.36605,-71.0528
8651720,42.366177,-71.05129
382991556,42.359207,-71.05079
382991556,42.359253,-71.0509
401265367,42.363724,-71.058395
401265367,42.36352,-71.05831
401265367,42.363224,-71.05804
401265367,42.36277,-71.05751
401265367,42.362427,-71.05699
401265367,42.362152,-71.0565
401265367,42.361496,-71.05502
401265367,42.360455,-71.053085
401265367,42.36015,-71.052765
401265367,42.35979,-71.05253
401265367,42.358543,-71.05215
8652313,42.364933,-71.05872
8652313,42.365772,-71.05957
8652313,42.364056,-71.058105
8652313,42.36448,-71.05834
8652313,42.36448,-71.05834
8652313,42.364746,-71.058556
8652313,42.36408,-71.0585
8652313,42.36363,-71.05829
8652313,42.363323,-71.05805
8652313,42.362747,-71.057365
8652313,42.364086,-71.05804
8652313,42.36448,-71.05834
8652313,42.36297,-71.05734
8652313,42.362854,-71.05719
8652313,42.36266,-71.05725
8652313,42.36191,-71.05622
8652313,42.36292,-71.05709
8652313,42.36304,-71.05725
8652313,42.362972,-71.057
8652313,42.3631,-71.05716
8652313,42.36191,-71.05622
8652313,42.361576,-71.0556
8652313,42.361465,-71.05462
8652313,42.36191,-71.05622
8652313,42.36174,-71.05574
8652313,42.361702,-71.05538
8652313,42.3624,-71.05525
8652313,42.36232,-71.05547
8652313,42.36172,-71.05521
8652313,42.361843,-71.054886
8652313,42.362057,-71.0546
8652313,42.361935,-71.0551
8652313,42.362103,-71.054695
8652313,42.36112,-71.05331
8652313,42.36116,-71.05339
199584098,42.360603,-71.0532
199584098,42.360565,-71.05324
199584098,42.360508,-71.053154
199584098,42.360546,-71.053116
199584098,42.360874,-71.05282
199584098,42.36093,-71.052795
199584098,42.360905,-71.05286
94590185,42.364586,-71.04963
94590185,42.36457,-71.049576
8649012,42.365307,-71.05741
8649012,42.365875,-71.05749
8649012,42.36666,-71.058174
8652390,42.36655,-71.05507
8652390,42.36666,-71.055
8644604,42.363888,-71.05317
8644604,42.3639,-71.053154
236582588,42.359634,-71.05189
236582588,42.35955,-71.05236
236582588,42.35952,-71.05235
236582588,42.359604,-71.05187
8652462,42.365284,-71.05306
8652462,42.364937,-71.05179
8652462,42.364826,-71.05106
8651145,42.3636,-71.05723
8651145,42.36362,-71.05683
8651145,42.36357,-71.05683
8651145,42.3632,-71.05614
49734024,42.359245,-71.059364
49734024,42.359238,-71.05957
49734024,42.358837,-71.05679
49734024,42.358624,-71.05723
382991570,42.361816,-71.05957
382991570,42.362312,-71.05855
382991570,42.361713,-71.05799
382991570,42.36152,-71.057396
382991570,42.361534,-71.0574
382991570,42.360413,-71.0571
382991570,42.36042,-71.05697
382991570,42.36042,-71.05697
382991570,42.36044,-71.05698
382991570,42.36045,-71.05688
382991570,42.36042,-71.05697
48982044,42.36375,-71.05803
48982044,42.363846,-71.0582
48982044,42.36388,-71.058426
48982044,42.363724,-71.058395
48982044,42.363365,-71.0579
48982044,42.363365,-71.0579
48982044,42.36291,-71.05745
48982044,42.36375,-71.05803
48982044,42.364094,-71.05824
48982044,42.364506,-71.05829
48982044,42.3631,-71.05716
48982044,42.363735,-71.05788
