x,y
72.88306,15.59552
119.03168,0.7956848
74.79266,14.799835
85.931946,11.139648
91.02423,10.184845
106.93756,5.092407
88.79639,10.184845
70.018616,16.550354
78.930115,13.049316
100.8905,5.888092
112.02985,3.3418884
117.12207,2.5462036
103.11835,5.888092
67.79077,16.550354
84.02234,12.253632
96.116516,8.434326
107.892334,4.2967224
113.93945,3.3418884
79.88489,13.049316
104.70972,5.092407
109.80194,4.2967224
64.92639,17.346039
93.57037,9.38913
99.93567,6.842926
87.20502,11.139648
92.93384,9.38913
77.338745,14.799835
66.19946,17.346039
115.21246,2.5462036
120.941284,0.7956848
45.830383,23.234161
25.779602,29.281403
52.832275,21.642761
18.77771,32.62329
24.824768,30.077087
39.14679,24.98468
61.107178,18.141724
36.918945,26.735168
20.687317,31.827606
49.01306,22.438446
57.9245,19.892242
33.09973,27.530884
59.834106,19.892242
42.01117,24.98468
35.00934,27.530884
40.101562,24.98468
31.82666,28.485718
50.60437,22.438446
23.23346,31.827606
44.239075,24.98468
54.105286,20.687927
28.007446,29.281403
56.014893,20.687927
208.1463,3.3418884
211.32898,10.184845
208.78284,5.092407
211.96552,12.253632
211.32898,8.434326
216.7395,24.98468
218.96738,29.281403
213.87512,17.346039
216.10297,22.438446
254.93152,10.184845
253.02191,4.2967224
255.88629,13.049316
252.06711,3.3418884
128.89795,10.184845
135.89978,5.092407
139.08246,2.5462036
130.17102,9.38913
63.016785,17.346039
61.743713,13.049316
59.19757,4.2967224
61.743713,15.59552
57.9245,3.3418884
59.834106,8.434326
57.9245,0.7956848
61.107178,11.139648
59.19757,5.888092
66.836,32.62329
63.971558,19.892242
66.836,30.077087
204.00885,16.550354
180.77539,24.98468
185.86768,22.438446
176.0014,26.735168
201.781,17.346039
178.22925,24.98468
184.91284,23.234161
193.1878,20.687927
206.87323,15.59552
179.18408,24.98468
198.9166,18.141724
191.91473,21.642761
211.32898,14.799835
190.00513,21.642761
200.18964,18.141724
183.00327,24.98468
197.00699,19.892242
208.78284,15.59552
169.95435,28.485718
158.815,32.62329
164.86206,30.077087
173.137,27.530884
165.8169,29.281403
171.86395,27.530884
168.04474,29.281403
161.04285,31.827606
121.89612,0.0
124.12396,4.2967224
122.85089,2.5462036
128.89795,12.253632
136.85461,24.98468
131.1258,14.799835
137.80945,26.735168
132.08063,16.550354
140.99207,32.62329
133.99023,19.892242
366.3248,10.184845
363.14212,0.7956848
366.3248,11.139648
364.09692,3.3418884
506.36206,32.62329
303.94455,10.184845
309.0368,6.842926
318.26654,2.5462036
308.40027,8.434326
322.08575,0.0
302.03494,11.139648
298.8523,9.38913
297.8975,6.842926
295.03308,0.0
297.26096,4.2967224
302.03494,18.141724
305.85416,28.485718
303.94455,23.234161
302.03494,16.550354
302.98975,20.687927
301.08014,14.799835
305.21762,27.530884
468.17007,23.234161
469.7614,30.077087
465.94223,18.141724
468.17007,24.98468
467.21527,20.687927
468.8066,29.281403
461.1682,3.3418884
464.98743,13.049316
461.1682,0.7956848
258.11417,16.550354
258.11417,18.141724
259.7055,23.234161
261.93335,27.530884
422.97623,15.59552
428.0685,30.077087
422.02142,9.38913
426.79544,27.530884
424.2493,18.141724
420.11185,2.5462036
422.02142,11.139648
426.79544,29.281403
425.2041,22.438446
422.97623,13.049316
511.13608,0.7956848
350.0932,32.62329
346.91052,21.642761
350.0932,30.077087
323.99533,26.735168
312.21948,30.077087
340.22693,21.642761
328.1328,24.98468
318.90308,28.485718
337.99905,22.438446
325.90494,24.98468
337.04428,22.438446
330.9972,24.98468
320.81268,27.530884
344.04614,20.687927
323.3588,27.530884
345.00095,20.687927
309.0368,31.827606
316.99347,28.485718
334.8164,23.234161
342.13654,21.642761
329.72415,24.98468
350.72974,18.141724
361.86905,14.799835
365.05173,13.049316
348.1836,19.892242
377.14584,9.38913
370.14398,11.139648
378.73718,9.38913
400.06104,2.5462036
374.918,10.184845
407.0629,0.0
380.01025,8.434326
395.92358,3.3418884
388.92172,5.092407
367.91614,12.253632
383.82944,6.842926
393.6957,4.2967224
386.0573,5.888092
404.83505,0.0
393.05917,4.2967224
373.0084,10.184845
403.2437,0.7956848
372.0536,11.139648
398.15146,3.3418884
387.01212,5.888092
602.7968,5.888092
602.1603,0.7956848
634.9418,29.281403
631.12256,17.346039
633.03217,22.438446
629.8495,14.799835
627.9399,9.38913
627.30334,4.2967224
719.2824,32.62329
709.41614,21.642761
715.78143,28.485718
707.18823,20.687927
710.0527,23.234161
717.0545,30.077087
711.9623,24.98468
704.9604,18.141724
527.6859,19.892242
542.00793,11.139648
559.19434,0.7956848
531.1869,17.346039
543.281,10.184845
556.01166,3.3418884
540.0983,12.253632
549.9646,5.888092
538.1887,13.049316
549.32806,6.842926
526.0946,20.687927
533.09644,16.550354
551.8742,5.092407
523.8667,21.642761
535.00604,15.59552
547.10016,8.434326
554.4203,4.2967224
536.2791,14.799835
556.96643,2.5462036
520.04755,23.234161
515.27356,27.530884
522.2754,22.438446
695.0941,5.092407
690.95667,4.2967224
685.22784,10.184845
682.0452,5.888092
685.8644,12.253632
678.86255,3.3418884
683.31824,8.434326
677.2712,0.7956848
688.4105,10.184845
697.0037,3.3418884
646.08105,27.530884
622.2111,30.077087
616.164,14.799835
618.0736,21.642761
614.8909,10.184845
618.0736,19.892242
613.93616,9.38913
619.02844,24.98468
614.8909,12.253632
612.9814,6.842926
619.02844,23.234161
612.9814,5.092407
616.164,16.550354
619.9832,26.735168
611.0718,0.0
714.1901,6.842926
711.9623,8.434326
711.00745,9.38913
715.78143,4.2967224
707.18823,12.253632
704.32385,16.550354
685.8644,30.077087
695.0941,23.234161
702.096,17.346039
688.4105,29.281403
697.0037,22.438446
690.95667,26.735168
683.9548,32.62329
690.0019,27.530884
700.1864,19.892242
726.9208,0.0
720.8737,5.092407
715.1449,11.139648
709.41614,17.346039
705.91516,20.687927
711.00745,16.550354
700.1864,24.98468
692.22974,31.827606
514.0005,5.888092
522.9119,21.642761
516.22833,9.38913
519.0927,14.799835
522.2754,19.892242
517.81964,12.253632
520.04755,16.550354
516.86487,11.139648
527.0494,28.485718
523.8667,23.234161
527.6859,30.077087
525.1398,24.98468
528.959,32.62329
761.2936,0.7956848
762.24835,3.3418884
763.8397,4.2967224
589.1114,18.141724
584.0191,2.5462036
586.24695,9.38913
589.1114,20.687927
586.8835,11.139648
584.0191,0.7956848
586.24695,8.434326
591.97577,28.485718
590.06616,23.234161
592.93054,30.077087
602.7968,5.888092
601.2055,0.7956848
642.89844,23.234161
640.3523,19.892242
637.1696,14.799835
634.9418,11.139648
631.12256,2.5462036
670.26935,30.077087
661.9944,22.438446
657.85693,16.550354
665.17706,24.98468
659.13,18.141724
654.0377,11.139648
650.21857,6.842926
650.8551,5.092407
711.00745,2.5462036
707.18823,4.2967224
704.9604,2.5462036
704.9604,2.5462036
708.14307,9.38913
607.25256,18.141724
605.0247,12.253632
609.1622,24.98468
604.0699,9.38913
609.1622,23.234161
605.9795,14.799835
609.7987,26.735168
605.9795,16.550354
604.0699,11.139648
611.0718,30.077087
924.88257,29.281403
921.06335,22.438446
926.15564,30.077087
