id,minlat,minlon,maxlat,maxlon,pop
250173533001001,-71.10824,42.363052,-71.106186,42.364304,98
250173533001000,-71.10745,42.36355,-71.105705,42.364555,80
250173534001011,-71.10824,42.36405,-71.10668,42.36488,59
250173534001001,-71.10721,42.364555,-71.10573,42.36515,62
250173535001005,-71.108284,42.364986,-71.10661,42.366356,269
250173535001000,-71.109985,42.36539,-71.10602,42.36778,414
250173530003006,-71.10668,42.36398,-71.1051,42.3649,100
250173535001004,-71.10694,42.365093,-71.106155,42.36539,1
250173530001000,-71.107285,42.36588,-71.10541,42.367184,74
250173530004009,-71.10702,42.36699,-71.1042,42.369453,254
250173535001003,-71.10661,42.36515,-71.104996,42.36588,12
250173530004013,-71.106346,42.36659,-71.10511,42.367535,40
250173534001000,-71.106155,42.3649,-71.104866,42.365253,0
250173533001007,-71.106186,42.362694,-71.10431,42.36398,143
250173530001001,-71.10602,42.365253,-71.10405,42.366413,11
250173530003007,-71.105705,42.363136,-71.10373,42.36452,170
250173530003005,-71.10573,42.36452,-71.10459,42.365173,0
250173530004012,-71.1057,42.36599,-71.103836,42.367413,76
250173530003004,-71.1051,42.36364,-71.103165,42.365017,398
250173530004008,-71.10582,42.367096,-71.10368,42.369164,259
250173530003001,-71.104996,42.365173,-71.1042,42.36538,0
250173530003003,-71.10459,42.36416,-71.102585,42.365562,183
250173530004014,-71.1047,42.365616,-71.10315,42.36677,0
250173530004011,-71.10475,42.367043,-71.10175,42.368984,328
250173530003000,-71.104355,42.36536,-71.10395,42.365616,0
250173530002008,-71.10405,42.365562,-71.10331,42.3662,3
250173530004015,-71.104294,42.366344,-71.10239,42.36776,64
250173530002007,-71.10395,42.36507,-71.10232,42.366344,0
250173531011001,-71.10373,42.36286,-71.10193,42.36416,220
250173531011000,-71.103165,42.36342,-71.10137,42.364735,142
250173530002006,-71.10318,42.364735,-71.10175,42.365852,0
250173530002002,-71.10315,42.365852,-71.10081,42.3683,212
250173530003006,-71.10668,42.36398,-71.1051,42.3649,100
250173534001000,-71.106155,42.3649,-71.104866,42.365253,0
250173535001003,-71.10661,42.36515,-71.104996,42.36588,12
250173530001001,-71.10602,42.365253,-71.10405,42.366413,11
250173530004012,-71.1057,42.36599,-71.103836,42.367413,76
250173530003005,-71.10573,42.36452,-71.10459,42.365173,0
250173530004013,-71.106346,42.36659,-71.10511,42.367535,40
250173530003007,-71.105705,42.363136,-71.10373,42.36452,170
250173530004008,-71.10582,42.367096,-71.10368,42.369164,259
250173530003004,-71.1051,42.36364,-71.103165,42.365017,398
250173530003002,-71.104866,42.365017,-71.1042,42.36536,0
250173530004014,-71.1047,42.365616,-71.10315,42.36677,0
250173530004011,-71.10475,42.367043,-71.10175,42.368984,328
250173530003003,-71.10459,42.36416,-71.102585,42.365562,183
250173530003000,-71.104355,42.36536,-71.10395,42.365616,0
250173530004015,-71.104294,42.366344,-71.10239,42.36776,64
250173530002007,-71.10395,42.36507,-71.10232,42.366344,0
250173530002006,-71.10318,42.364735,-71.10175,42.365852,0
250173530002002,-71.10315,42.365852,-71.10081,42.3683,212
250173531011000,-71.103165,42.36342,-71.10137,42.364735,142
250173530002005,-71.102585,42.364433,-71.10128,42.36549,0
250173530002004,-71.10232,42.365234,-71.10041,42.367252,202
250173531012009,-71.102036,42.3639,-71.100334,42.365234,120
250173539003009,-71.12157,42.370144,-71.11991,42.371635,391
250173538003002,-71.113434,42.371445,-71.11086,42.37384,507
250173530003005,-71.10573,42.36452,-71.10459,42.365173,0
250173530001001,-71.10602,42.365253,-71.10405,42.366413,11
250173530003004,-71.1051,42.36364,-71.103165,42.365017,398
250173530003002,-71.104866,42.365017,-71.1042,42.36536,0
250173530004012,-71.1057,42.36599,-71.103836,42.367413,76
250173530003001,-71.104996,42.365173,-71.1042,42.36538,0
250173530004014,-71.1047,42.365616,-71.10315,42.36677,0
250173530003003,-71.10459,42.36416,-71.102585,42.365562,183
250173530003000,-71.104355,42.36536,-71.10395,42.365616,0
250173530002007,-71.10395,42.36507,-71.10232,42.366344,0
250173533001000,-71.10745,42.36355,-71.105705,42.364555,80
250173535001003,-71.10661,42.36515,-71.104996,42.36588,12
250173530003007,-71.105705,42.363136,-71.10373,42.36452,170
250173530001001,-71.10602,42.365253,-71.10405,42.366413,11
250173530003003,-71.10459,42.36416,-71.102585,42.365562,183
250173530004015,-71.104294,42.366344,-71.10239,42.36776,64
250173530002007,-71.10395,42.36507,-71.10232,42.366344,0
250173534001009,-71.11607,42.361465,-71.11429,42.364395,0
250173539002008,-71.11605,42.364304,-71.11381,42.36524,179
250173539002009,-71.11598,42.36518,-71.11486,42.365803,191
250173539002000,-71.11634,42.365726,-71.11351,42.36777,1006
250173539002006,-71.11503,42.36515,-71.11413,42.36622,78
250173534001008,-71.11484,42.363132,-71.1137,42.36448,127
250173539002001,-71.11476,42.366196,-71.11353,42.36664,919
250173539002007,-71.11437,42.36512,-71.113556,42.366226,134
250173534001007,-71.1139,42.363808,-71.113,42.364548,58
250173534001006,-71.113785,42.362267,-71.110535,42.364754,469
250173535002009,-71.11391,42.36448,-71.112854,42.36558,92
250173535002008,-71.11368,42.3653,-71.111565,42.366413,343
250173535002010,-71.113106,42.364548,-71.112206,42.365448,49
250173535002006,-71.11353,42.36532,-71.110886,42.367916,186
250173523002009,-71.07987,42.365215,-71.078064,42.36612,0
250173523002010,-71.07973,42.365913,-71.0779,42.366795,0
250173523002006,-71.079575,42.366566,-71.07772,42.36747,0
250173523002004,-71.08004,42.36747,-71.07924,42.3682,59
